phrase,ratio_balanced,ai_docs,human_docs,ai_per_1000,human_per_1000,regs_ratio_ge2,top_reg_share,register_skewed,gen2026_per_1000,humanv2_per_1000,generalises
for the task is,21.62,54,0,9.55,0.0,6,0.28,False,0.0,0.0,False
original text for the,21.62,54,0,9.55,0.0,6,0.28,False,0.0,0.0,False
told her i,20.88,63,2,11.14,0.2,3,1.0,True,0.0,0.0,False
and said i,20.37,72,3,12.73,0.3,3,0.97,True,0.25,0.72,False
early life and,20.15,63,2,11.14,0.2,3,1.0,True,0.25,0.0,True
i the asshole here,20.0,40,0,7.07,0.0,3,1.0,True,0.0,0.0,False
essay argues,20.0,65,0,11.49,0.0,3,1.0,True,21.17,0.0,True
for immediate release,19.95,91,1,16.09,0.1,3,1.0,True,31.87,0.24,True
this matters,19.94,70,0,12.38,0.0,4,0.4,False,26.15,0.0,True
task is the following,19.88,48,0,8.49,0.0,6,0.25,False,0.0,0.0,False
this essay argues,19.73,64,0,11.32,0.0,3,1.0,True,20.92,0.0,True
essay argues that,19.73,64,0,11.32,0.0,3,1.0,True,20.92,0.0,True
for a wikipedia,19.68,27,1,4.77,0.1,3,1.0,True,0.0,0.0,False
this essay argues that,19.45,63,0,11.14,0.0,3,1.0,True,20.67,0.0,True
the task is the,19.43,47,0,8.31,0.0,6,0.26,False,0.0,0.0,False
for a wikipedia article,19.01,26,1,4.6,0.1,3,1.0,True,0.0,0.0,False
tax digital,18.96,68,1,12.02,0.1,4,0.49,False,25.4,0.24,True
making tax,18.96,68,1,12.02,0.1,4,0.49,False,25.4,0.24,True
making tax digital,18.96,68,1,12.02,0.1,4,0.49,False,25.4,0.24,True
six weeks,18.71,266,20,47.04,2.03,5,0.61,False,91.38,3.38,True
vat on,18.56,49,0,8.66,0.0,4,0.41,False,21.66,0.0,True
particularly where,18.5,73,1,12.91,0.1,4,0.47,False,23.9,0.24,True
vat registered,18.43,51,0,9.02,0.0,4,0.43,False,19.67,0.0,True
shoulder season,18.38,58,0,10.26,0.0,4,0.64,False,24.65,0.0,True
